Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
14941,Stake: Fortune Fighters,XB,2003.0,Fighting,Metro 3D,0.02,0.01,0.0,0.0,0.02
9817,Street Hoops,GC,,Sports,Unknown,0.09,0.02,0.0,0.0,0.12
9224,Wild ARMs XF,PSP,2007.0,Role-Playing,505 Games,0.07,0.0,0.06,0.01,0.14
15756,Memories Off: Yubikiri no Kikou,PSP,2011.0,Adventure,5pb,0.0,0.0,0.02,0.0,0.02
1398,Hannah Montana: Spotlight World Tour,Wii,2007.0,Action,Disney Interactive Studios,0.87,0.38,0.0,0.13,1.39
3429,Final Fantasy Anniversary Edition,PSP,2007.0,Role-Playing,Square Enix,0.39,0.02,0.13,0.04,0.59
9140,Lord of the Rings: Tactics,PSP,2005.0,Strategy,Electronic Arts,0.11,0.02,0.0,0.02,0.14
10307,Hellboy: The Science of Evil,X360,2008.0,Action,Konami Digital Entertainment,0.1,0.0,0.0,0.01,0.11
14645,Mystery Trackers: The Void,PC,2011.0,Puzzle,Focus Home Interactive,0.0,0.02,0.0,0.01,0.03
11473,Knights Contract,X360,2011.0,Action,Namco Bandai Games,0.05,0.03,0.0,0.01,0.08
15925,Gaku ? Ou: The Royal Seven Stars,PSP,2012.0,Role-Playing,Alchemist,0.0,0.0,0.02,0.0,0.02
1251,The Simpsons Game,PS2,2007.0,Action,Electronic Arts,0.35,0.03,0.0,1.13,1.51
9964,Lunar 2: Eternal Blue,SAT,1998.0,Role-Playing,Kadokawa Shoten,0.0,0.0,0.12,0.0,0.12
2806,Practise English!,DS,2007.0,Misc,Nintendo,0.0,0.0,0.73,0.0,0.73
14868,Moyashimon DS,DS,2009.0,Action,Takara Tomy,0.0,0.0,0.03,0.0,0.03
669,Tony Hawk's Underground 2,PS2,2004.0,Sports,Activision,1.25,0.86,0.01,0.26,2.37
14747,Bleach: Soul Carnival 2,PSP,2009.0,Fighting,Sony Computer Entertainment,0.0,0.0,0.03,0.0,0.03
12068,Command & Conquer 3: Tiberium Wars,PC,2007.0,Strategy,Electronic Arts,0.0,0.06,0.0,0.01,0.07
14325,Smart Girl's Winter Wonderland,DS,2008.0,Misc,UFO Interactive,0.03,0.0,0.0,0.0,0.03
11292,Sega GT Online,XB,2003.0,Racing,Sega,0.06,0.02,0.0,0.0,0.08
10922,Puyo Pop Fever (JP sales),DS,2004.0,Puzzle,Ignition Entertainment,0.0,0.0,0.09,0.0,0.09
8753,NHL 17,XOne,2016.0,Sports,Electronic Arts,0.13,0.01,0.0,0.02,0.15
8508,Lethal Skies II,PS2,2003.0,Simulation,Sammy Corporation,0.08,0.06,0.0,0.02,0.16
6415,Super Nazo Puyo: Ruruu no Ruu,SNES,1995.0,Puzzle,Banpresto,0.0,0.0,0.27,0.0,0.27
661,WCW/nWo Revenge,N64,1998.0,Fighting,THQ,1.94,0.39,0.03,0.02,2.38
12482,World Series of Poker 2008: Battle for the Bracelets,DS,2007.0,Misc,Activision,0.05,0.0,0.0,0.0,0.06
4901,LEGO Star Wars III: The Clone Wars,PSP,2011.0,Action,LucasArts,0.14,0.17,0.0,0.09,0.39
5919,Reel Fishing: Angler's Dream,Wii,2009.0,Sports,Zushi Games,0.26,0.01,0.0,0.02,0.3
13238,Finny the Fish & the Seven Waters,PS2,2004.0,Sports,Sony Computer Entertainment,0.02,0.02,0.0,0.01,0.05
2435,NBA 2K8,X360,2007.0,Sports,Take-Two Interactive,0.79,0.0,0.0,0.07,0.85
5930,The Sims 2: Pets,PS2,2006.0,Simulation,Electronic Arts,0.02,0.01,0.0,0.27,0.3
3461,Tom Clancy's HAWX,X360,2009.0,Action,Ubisoft,0.31,0.19,0.02,0.06,0.58
1841,Donkey Kong Jr.,NES,1983.0,Platform,Nintendo,0.33,0.07,0.7,0.01,1.11
12148,Freddi Fish: Kelp Seed Mystery,Wii,2008.0,Adventure,Majesco Entertainment,0.06,0.0,0.0,0.0,0.07
9108,Krull,2600,1982.0,Action,Atari,0.13,0.01,0.0,0.0,0.14
13925,Don Bradman Cricket 14,XOne,2015.0,Sports,Tru Blu Entertainment,0.0,0.04,0.0,0.0,0.04
954,Sonic & Knuckles,GEN,1994.0,Platform,Sega,1.24,0.43,0.03,0.12,1.82
15364,Prehistorik Man,GBA,2001.0,Platform,THQ,0.01,0.01,0.0,0.0,0.02
1857,WWE SmackDown vs. Raw 2011,PS3,2010.0,Fighting,THQ,0.44,0.46,0.01,0.18,1.1
2919,Jade Empire,XB,2005.0,Role-Playing,Microsoft Game Studios,0.48,0.19,0.0,0.03,0.7
10957,Get Fit with Mel B,Wii,2010.0,Sports,Black Bean Games,0.03,0.05,0.0,0.01,0.09
9228,NBA 2K13,WiiU,2012.0,Sports,Take-Two Interactive,0.08,0.04,0.0,0.01,0.14
6670,SpongeBob's Truth or Square (US sales),X360,2009.0,Action,THQ,0.25,0.0,0.0,0.0,0.25
1282,Wario Land II,GB,1997.0,Platform,Nintendo,0.7,0.35,0.39,0.04,1.48
16144,Furious Karting,XB,2003.0,Racing,Atari,0.01,0.0,0.0,0.0,0.01
12329,Order Up!!,PS3,2011.0,Action,Funbox Media,0.04,0.01,0.0,0.01,0.06
2230,Sonic Riders: Zero Gravity,Wii,2008.0,Racing,Sega,0.5,0.32,0.02,0.1,0.93
14749,Tiger & Bunny: On-Air Jack!,PSP,2012.0,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
11143,Major League Baseball 2K12,PSP,2012.0,Sports,Take-Two Interactive,0.08,0.0,0.0,0.01,0.09
13687,Chaos;Head - Love Chu*Chu!,PSP,2011.0,Adventure,5pb,0.0,0.0,0.04,0.0,0.04
3857,J-League Pro Soccer Club o Tsukurou! 3,PS2,2003.0,Sports,Sega,0.0,0.0,0.52,0.0,0.52
10365,Lego Star Wars: The Force Awakens,X360,2016.0,Action,Warner Bros. Interactive Entertainment,0.04,0.06,0.0,0.01,0.11
3849,Rival Schools: United By Fate,PS,1998.0,Fighting,Capcom,0.12,0.08,0.28,0.03,0.52
16057,Samurai Shodown Anthology (JP sales),PS2,2008.0,Fighting,Ignition Entertainment,0.0,0.0,0.01,0.0,0.01
8841,Syndicate,PS3,2012.0,Shooter,EA Games,0.07,0.06,0.0,0.02,0.15
13449,Kimi ni Todoke: Tsutaeru Kimochi,DS,2011.0,Adventure,Banpresto,0.0,0.0,0.05,0.0,0.05
302,Left 4 Dead 2,X360,2009.0,Shooter,Electronic Arts,2.67,0.89,0.05,0.37,3.99
8575,Ener-G: Dance Squad,DS,2008.0,Sports,Ubisoft,0.15,0.0,0.0,0.01,0.16
2804,Kirby: Canvas Curse,DS,2005.0,Platform,Nintendo,0.37,0.0,0.32,0.04,0.73
372,Resident Evil 5,X360,2009.0,Action,Capcom,2.11,0.94,0.12,0.34,3.51
5964,Mini Ninjas,X360,2009.0,Action,Eidos Interactive,0.12,0.14,0.0,0.03,0.29
14709,Akane Iro ni Somaru Saka Parallel,PS2,2008.0,Adventure,GN Software,0.0,0.0,0.03,0.0,0.03
614,Marvel: Ultimate Alliance,X360,2006.0,Role-Playing,Activision,2.29,0.02,0.0,0.19,2.5
4866,Command & Conquer,PS,1996.0,Strategy,Virgin Interactive,0.22,0.15,0.0,0.03,0.4
1451,Monster Hunter Freedom,PSP,2005.0,Role-Playing,Capcom,0.24,0.04,1.03,0.04,1.35
243,Dragon Quest VII: Warriors of Eden,PS,2000.0,Role-Playing,Enix Corporation,0.2,0.14,4.1,0.02,4.47
16566,Mortal Kombat: Deadly Alliance,GBA,2002.0,Fighting,Midway Games,0.01,0.0,0.0,0.0,0.01
8327,NBA 09: The Inside,PSP,2008.0,Sports,Sony Computer Entertainment,0.16,0.0,0.0,0.01,0.17
4615,NBA Live 06,PSP,2005.0,Sports,Electronic Arts,0.39,0.0,0.0,0.03,0.42
1196,Mafia II,X360,2010.0,Action,Take-Two Interactive,0.84,0.56,0.0,0.15,1.55
14039,Super Robot Taisen: Scramble Commander the 2nd,PS2,2007.0,Strategy,Banpresto,0.0,0.0,0.04,0.0,0.04
10497,Revolution X,PS,1995.0,Shooter,Acclaim Entertainment,0.06,0.04,0.0,0.01,0.1
8655,Left Brain Right Brain: Use Both Hands Train Both Sides,DS,2007.0,Misc,505 Games,0.15,0.0,0.0,0.01,0.16
1991,MVP Baseball 2003,PS2,2003.0,Sports,Electronic Arts,0.51,0.4,0.0,0.13,1.04
1285,Fight Night 2004,PS2,2004.0,Fighting,Electronic Arts,1.08,0.2,0.0,0.2,1.48
3961,Monster Hunter Freedom 2,PS3,2011.0,Role-Playing,Capcom,0.0,0.0,0.5,0.0,0.5
2542,The Legend of Zelda: Four Swords Adventures,GC,2004.0,Action,Nintendo,0.63,0.16,0.0,0.02,0.81
7291,Order Up!,Wii,2008.0,Misc,Zoo Digital Publishing,0.19,0.01,0.0,0.02,0.22
14531,R-Type III: The Third Lightning,GBA,2004.0,Shooter,Zoo Digital Publishing,0.02,0.01,0.0,0.0,0.03
14887,LEGO Pirates of the Caribbean: The Video Game,PC,2011.0,Action,Disney Interactive Studios,0.02,0.0,0.0,0.0,0.03
2567,Yakuza,PS2,2005.0,Action,Sega,0.03,0.02,0.74,0.01,0.8
12730,Aggressive Inline,GC,2002.0,Sports,Acclaim Entertainment,0.04,0.01,0.0,0.0,0.06
13430,Tropico 3,PC,2009.0,Strategy,Kalypso Media,0.0,0.04,0.0,0.01,0.05
4245,Stuart Little 2,GBA,2002.0,Platform,Activision,0.33,0.12,0.0,0.01,0.46
14957,Steel Battalion: Line of Contact,XB,2004.0,Simulation,Capcom,0.02,0.01,0.0,0.0,0.02
8313,Jillian Michaels Fitness Ultimatum 2011,Wii,2010.0,Sports,D3Publisher,0.16,0.0,0.0,0.01,0.17
7955,Thomas the Tank Engine & Friends,GBA,2004.0,Adventure,,0.13,0.05,0.0,0.0,0.19
9879,NBA 2K2,GC,2002.0,Sports,Sega,0.09,0.02,0.0,0.0,0.12
15874,Full House Kiss 2,PS2,2006.0,Adventure,Capcom,0.0,0.0,0.02,0.0,0.02
5904,Pride FC: Fighting Championships,PS2,2003.0,Fighting,THQ,0.15,0.11,0.0,0.04,0.3
6231,SimCity 2000,SAT,1994.0,Simulation,Sega,0.0,0.0,0.28,0.0,0.28
254,Resistance: Fall of Man,PS3,2006.0,Shooter,Sony Computer Entertainment,1.73,1.73,0.14,0.75,4.35
4621,Ghost Trick: Phantom Detective,DS,2010.0,Adventure,Capcom,0.2,0.08,0.12,0.03,0.42
13696,WarJetz,PS2,2001.0,Shooter,3DO,0.02,0.02,0.0,0.01,0.04
9334,Peppa Pig: Fun and Games,Wii,2010.0,Misc,Ubisoft,0.0,0.12,0.0,0.02,0.13
12904,Zapper: One Wicked Cricket!,XB,2002.0,Platform,Infogrames,0.04,0.01,0.0,0.0,0.05
2429,Forza Horizon 2,X360,2014.0,Racing,Microsoft Game Studios,0.35,0.43,0.0,0.07,0.85
3337,Hot Shots Golf: World Invitational,PSV,2011.0,Sports,Sony Computer Entertainment,0.19,0.11,0.25,0.06,0.6
14104,Zenkoku Dekotora Matsuri,Wii,2008.0,Racing,Jaleco,0.0,0.0,0.03,0.0,0.03
9856,Tom Clancy's EndWar,PSP,2008.0,Strategy,Ubisoft,0.1,0.01,0.0,0.01,0.12
2617,Ghost Squad,Wii,2007.0,Shooter,Sega,0.42,0.21,0.08,0.07,0.79
11876,Viewpoint,PS,1995.0,Shooter,Electronic Arts,0.04,0.03,0.0,0.0,0.07
779,Borderlands,PS3,2009.0,Shooter,Take-Two Interactive,1.2,0.62,0.0,0.29,2.11
10102,Stronghold Kingdoms,PC,2011.0,Strategy,DTP Entertainment,0.0,0.1,0.0,0.02,0.11
3439,Mega Man X7,PS2,2003.0,Action,Capcom,0.22,0.17,0.14,0.06,0.58
13215,NBA 2K,DC,1999.0,Sports,Sega,0.0,0.0,0.05,0.0,0.05
13839,Tokimeki Mahjong Paradise: Koi no Tenpai Beat,SAT,1995.0,Misc,Sonnet,0.0,0.0,0.04,0.0,0.04
13837,Dreamfall: The Longest Journey,XB,2006.0,Adventure,Empire Interactive,0.03,0.01,0.0,0.0,0.04
8586,Jikkyou Powerful Pro Yakyuu Basic-han 2001,N64,2001.0,Sports,Konami Digital Entertainment,0.0,0.0,0.12,0.04,0.16
11342,FIFA Street 2,XB,2006.0,Sports,Electronic Arts,0.06,0.02,0.0,0.0,0.08
5180,NARC,PS2,2005.0,Shooter,Midway Games,0.18,0.14,0.0,0.05,0.36
2010,ZhuZhu Pets,DS,2010.0,Simulation,Activision,0.68,0.27,0.0,0.09,1.04
